loan_ref,branch_ref,loan_status,repayment_cycle,installments,principal_amount,interest_amount,total_amount,total_paid,outstanding_balance,arrears_amount,issued_date,expected_completion_date,actual_completion_date,overdue_days
LN-SAMPLE-0001,BR-06,active,8 weeks,8,15000.00,1500.00,16500.00,10156.24,6343.76,0.00,2025-08-11,2025-10-06,,0
LN-SAMPLE-0002,BR-06,closed,4 weeks,4,30000.00,3000.00,33000.00,33000.00,0.00,0.00,2025-06-16,2025-07-14,2025-07-13,0
LN-SAMPLE-0003,BR-02,active,4 weeks,4,15000.00,2250.00,17250.00,6790.70,10459.30,0.00,2026-03-07,2026-04-04,,0
LN-SAMPLE-0004,BR-04,closed,4 weeks,4,10000.00,1500.00,11500.00,11500.00,0.00,0.00,2026-01-03,2026-01-31,2026-01-26,0
LN-SAMPLE-0005,BR-03,active,8 weeks,8,8000.00,800.00,8800.00,1475.77,7324.23,0.00,2025-12-12,2026-02-06,,0
LN-SAMPLE-0006,BR-03,closed,4 weeks,4,40000.00,6000.00,46000.00,46000.00,0.00,0.00,2025-08-03,2025-08-31,2025-08-25,0
LN-SAMPLE-0007,BR-01,closed,8 weeks,8,15000.00,2250.00,17250.00,17250.00,0.00,0.00,2025-07-06,2025-08-31,2025-08-31,0
LN-SAMPLE-0008,BR-06,active,8 weeks,8,8000.00,800.00,8800.00,3221.58,5578.42,0.00,2025-07-22,2025-09-16,,0
LN-SAMPLE-0009,BR-04,closed,8 weeks,8,10000.00,1200.00,11200.00,11200.00,0.00,0.00,2025-11-29,2026-01-24,2026-01-21,0
LN-SAMPLE-0010,BR-06,active,4 weeks,4,10000.00,1500.00,11500.00,2465.39,9034.61,0.00,2025-10-04,2025-11-01,,0
LN-SAMPLE-0011,BR-04,active,6 weeks,6,25000.00,2500.00,27500.00,18569.70,8930.30,0.00,2025-09-26,2025-11-07,,0
LN-SAMPLE-0012,BR-03,overdue,4 weeks,4,15000.00,2250.00,17250.00,3558.90,13691.10,2994.10,2025-11-09,2025-12-07,,64
LN-SAMPLE-0013,BR-06,overdue,8 weeks,8,10000.00,1000.00,11000.00,4064.38,6935.62,1585.00,2026-03-15,2026-05-10,,75
LN-SAMPLE-0014,BR-05,overdue,6 weeks,6,10000.00,1500.00,11500.00,1672.73,9827.27,3521.41,2026-02-08,2026-03-22,,7
LN-SAMPLE-0015,BR-02,closed,12 weeks,12,8000.00,960.00,8960.00,8960.00,0.00,0.00,2025-12-13,2026-03-07,2026-02-26,0
LN-SAMPLE-0016,BR-04,overdue,4 weeks,4,8000.00,1200.00,9200.00,4374.04,4825.96,975.10,2026-03-02,2026-03-30,,83
LN-SAMPLE-0017,BR-03,overdue,12 weeks,12,5000.00,750.00,5750.00,3369.18,2380.82,600.69,2025-10-13,2026-01-05,,23
LN-SAMPLE-0018,BR-01,defaulted,8 weeks,8,15000.00,1500.00,16500.00,5032.57,11467.43,11467.43,2025-12-09,2026-02-03,,228
LN-SAMPLE-0019,BR-05,defaulted,8 weeks,8,40000.00,4000.00,44000.00,16352.14,27647.86,27647.86,2025-07-28,2025-09-22,,168
